Iteration,Temperature,CurrentCost,BestCost
451,36.6491,3695.84,3509.86
452,36.4659,3695.84,3509.86
453,36.2835,3695.84,3509.86
454,36.1021,3695.84,3509.86
455,35.9216,3695.84,3509.86
456,35.742,3695.84,3509.86
457,35.5633,3700.26,3509.86
458,35.3855,3700.26,3509.86
459,35.2085,3700.26,3509.86
460,35.0325,3700.26,3509.86
461,34.8573,3700.26,3509.86
462,34.6831,3700.26,3509.86
463,34.5096,3700.26,3509.86
464,34.3371,3700.26,3509.86
465,34.1654,3700.26,3509.86
466,33.9946,3700.26,3509.86
467,33.8246,3700.26,3509.86
468,33.6555,3700.26,3509.86
469,33.4872,3700.26,3509.86
470,33.3198,3700.26,3509.86
471,33.1532,3700.26,3509.86
472,32.9874,3700.26,3509.86
473,32.8225,3700.26,3509.86
474,32.6584,3700.26,3509.86
475,32.4951,3700.26,3509.86
476,32.3326,3700.26,3509.86
477,32.1709,3700.26,3509.86
478,32.0101,3700.26,3509.86
479,31.85,3700.26,3509.86
480,31.6908,3700.26,3509.86
481,31.5323,3700.26,3509.86
482,31.3747,3700.26,3509.86
483,31.2178,3700.26,3509.86
484,31.0617,3700.26,3509.86
485,30.9064,3700.26,3509.86
486,30.7518,3700.26,3509.86
487,30.5981,3700.26,3509.86
488,30.4451,3700.26,3509.86
489,30.2929,3700.26,3509.86
490,30.1414,3700.26,3509.86
491,29.9907,3700.26,3509.86
492,29.8407,3700.26,3509.86
493,29.6915,3700.26,3509.86
494,29.5431,3700.26,3509.86
495,29.3954,3700.26,3509.86
496,29.2484,3702.6,3509.86
497,29.1022,3702.6,3509.86
498,28.9566,3702.6,3509.86
499,28.8119,3702.6,3509.86
500,28.6678,3702.6,3509.86
501,28.5245,3702.6,3509.86
502,28.3818,3702.6,3509.86
503,28.2399,3702.6,3509.86
504,28.0987,3702.6,3509.86
505,27.9582,3702.6,3509.86
506,27.8184,3702.6,3509.86
507,27.6794,3702.6,3509.86
508,27.541,3702.6,3509.86
509,27.4033,3702.6,3509.86
510,27.2662,3702.6,3509.86
511,27.1299,3702.6,3509.86
512,26.9943,3702.6,3509.86
513,26.8593,3702.6,3509.86
514,26.725,3702.6,3509.86
515,26.5914,3702.6,3509.86
516,26.4584,3702.6,3509.86
517,26.3261,3702.6,3509.86
518,26.1945,3702.6,3509.86
519,26.0635,3702.6,3509.86
520,25.9332,3702.6,3509.86
521,25.8035,3702.6,3509.86
522,25.6745,3702.6,3509.86
523,25.5461,3702.6,3509.86
524,25.4184,3702.6,3509.86
525,25.2913,3702.6,3509.86
526,25.1649,3702.6,3509.86
527,25.039,3702.6,3509.86
528,24.9138,3702.6,3509.86
529,24.7893,3702.6,3509.86
530,24.6653,3702.6,3509.86
531,24.542,3702.6,3509.86
532,24.4193,3702.6,3509.86
533,24.2972,3702.6,3509.86
534,24.1757,3702.6,3509.86
535,24.0548,3702.6,3509.86
536,23.9345,3702.6,3509.86
537,23.8149,3702.6,3509.86
538,23.6958,3702.6,3509.86
539,23.5773,3702.6,3509.86
540,23.4594,3702.6,3509.86
541,23.3421,3702.6,3509.86
542,23.2254,3702.6,3509.86
